,Property,n,Label
409,P9352,2,Portrait Archive ID
410,P1890,2,CCAB ID
411,P947,2,RSL ID (person)
412,P2799,2,BVMC person ID
413,P5731,2,Angelicum ID
414,P3429,2,Electronic Enlightenment ID
415,P4223,2,Treccani's Enciclopedia Italiana ID
416,P7753,2,Projekt Gutenberg-DE author ID
417,P7865,2,CoBiS author ID
418,P1670,2,Canadiana Authorities ID (former scheme)
419,P7445,2,Basis Wien person ID
420,P8750,2,Unione Romana Biblioteche Scientifiche ID
421,P5421,2,Trading Card Database person ID
422,P9507,2,NBM authority ID
423,P888,2,JSTOR article ID
424,P710,2,participant
425,P2080,2,AcademiaNet ID
426,P2798,2,Loop ID
427,P5239,2,Artists in Canada record number
428,P5395,2,Canadian Encyclopedia article ID
429,P9054,2,National Historic People ID
430,P1325,2,external data available at
431,P8317,2,Philadelphia Museum of Art entity ID
432,P9081,2,SEARCH on line catalogue ID
433,P6300,2,Hymnary author ID
434,P3074,2,Grace's Guide ID
435,P6878,2,Amburger database ID
436,P112,2,founded by
437,P3946,2,Dictionary Grierson ID
438,P10227,2,National Library of Ireland ID
439,P459,2,determination method
440,P518,2,applies to part
441,P2041,2,National Gallery of Victoria artist ID
442,P6366,2,Microsoft Academic ID
443,P511,2,honorific prefix
444,P1367,2,Art UK artist ID
445,P4241,2,refine date
446,P8462,2,Political Graveyard politician ID
447,P2941,2,Munk's Roll ID
448,P3368,2,Prabook ID
449,P410,2,military rank
450,P9152,2,CollectieGelderland creator ID
451,P2003,2,Instagram username
452,P6375,2,street address
453,P53,1,family
454,P1284,1,Munzinger person ID
455,P5821,1,ArhivX LOD
456,P5492,1,EDIT16 catalogue author ID
457,P8067,1,Macdonald Dictionary ID
458,P5695,1,Bibliopoche author ID
459,P6234,1,Biographie nationale de Belgique ID
460,P8413,1,academic appointment
461,P1543,1,monogram
462,P170,1,creator
463,P6231,1,BDELIS ID
464,P2716,1,collage image
465,P9720,1,fotoCH photographer ID
466,P3788,1,BNMM authority ID
467,P4158,1,autores.ar ID
468,P625,1,coordinate location
469,P7697,1,Maine: An Encyclopedia ID
470,P4890,1,EPHE ID
471,P3392,1,Surman ID
472,P7498,1,Women Film Pioneers ID
473,P7026,1,Lebanese National Library ID
474,P8350,1,Singapore Infopedia ID
475,P4574,1,Norwegian historical register of persons ID
476,P2191,1,Vegetti Catalog of Fantastic Literature NILF ID
477,P7024,1,Flemish Public Libraries ID
478,P4819,1,Swedish Portrait Archive ID
479,P8234,1,LiederNet author ID
480,P528,1,catalog code
